Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/06/25, 10:12:51, -7.238946, 72.434853, 6.70,  900.00, 356, 0, 16.59, 
2016/06/25, 10:18:33, -7.238971, 72.434952, -48.24,  828.00, 129, 0, 11.27, 
2016/06/25, 10:24:10, -7.238987, 72.435089, -16.52,  972.00, 224, 0, 15.22, 
2016/06/25, 10:31:03, -7.238973, 72.435081, 4.15,  0.00, 53, 0, 1.79, 
2016/06/25, 10:37:01, -7.238961, 72.434792, -1.20,  324.00, 1, 0, 31.91, 
2016/06/25, 10:45:28, -7.238903, 72.434990, -24.72,  0.00, 308, 0, 22.77, 
2016/06/25, 10:51:23, -7.238819, 72.434837, -2.84,  3708.00, 354, 0, 19.29, 
2016/06/25, 11:32:47, -7.238819, 72.434837, -2.84,  3708.00, 354, 0, 0.00, 
2016/06/25, 11:45:25, -7.238738, 72.434700, 7.86,  1728.00, 235, 0, 17.59, 
2016/06/25, 11:50:10, -7.238865, 72.435303, -24.40,  0.00, 305, 0, 68.00, 
2016/06/25, 11:55:00, -7.238991, 72.434822, 0.72,  0.00, 323, 0, 54.88, 
2016/06/25, 11:59:49, -7.238956, 72.434753, 10.69,  0.00, 261, 0, 8.55, 
2016/06/25, 12:04:38, -7.238852, 72.435081, -12.28,  0.00, 275, 0, 37.98, 
2016/06/25, 12:09:28, -7.238878, 72.435150, -5.66,  0.00, 275, 0, 8.14, 
2016/06/25, 12:14:13, -7.238864, 72.435074, 17.41,  0.00, 276, 0, 8.53, 
2016/06/25, 12:18:59, -7.238731, 72.434433, 54.28,  576.00, 82, 0, 72.24, 
2016/06/25, 12:23:49, -7.238814, 72.434647, 36.98,  0.00, 273, 0, 25.35, 
2016/06/25, 12:28:40, -7.238841, 72.434998, 4.82,  0.00, 97, 0, 38.83, 
2016/06/25, 12:33:26, -7.238771, 72.434738, 20.78,  0.00, 96, 0, 29.72, 
2016/06/25, 12:38:14, -7.238895, 72.435120, -18.79,  0.00, 270, 0, 44.34, 
2016/06/25, 12:43:04, -7.238856, 72.434990, -15.58,  0.00, 29, 0, 14.98, 
2016/06/25, 12:47:55, -7.238840, 72.434837, 0.25,  0.00, 333, 0, 16.97, 
2016/06/25, 12:52:46, -7.238830, 72.435020, 18.80,  0.00, 94, 0, 20.22, 
2016/06/25, 12:57:38, -7.238878, 72.435097, 0.17,  0.00, 109, 0, 10.03, 
2016/06/25, 13:02:37, -7.238926, 72.435150, 14.38,  180.00, 16, 0, 7.92, 
2016/06/25, 13:08:22, -7.239082, 72.434593, 90.83,  2628.00, 251, 0, 63.84, 
2016/06/25, 13:13:50, -7.238667, 72.435219, -60.35,  0.00, 84, 0, 83.05, 
2016/06/25, 13:19:03, -7.238970, 72.434761, 78.02,  180.00, 235, 0, 60.73, 
2016/06/25, 13:24:12, -7.239011, 72.435066, 71.34,  0.00, 57, 0, 33.95, 
2016/06/25, 13:29:23, -7.238851, 72.435097, -5.29,  540.00, 260, 0, 18.12, 
2016/06/25, 13:34:32, -7.238815, 72.435104, 1.28,  0.00, 77, 0, 4.08, 
2016/06/25, 13:39:40, -7.238825, 72.435043, -4.48,  0.00, 29, 0, 6.82, 
2016/06/25, 13:44:53, -7.238689, 72.434990, -22.52,  1260.00, 256, 0, 16.21, 
2016/06/25, 13:50:04, -7.238782, 72.435089, -7.47,  360.00, 312, 0, 15.04, 
2016/06/25, 13:55:12, -7.238778, 72.435112, -10.54,  0.00, 9, 0, 2.58, 
2016/06/25, 14:00:19, -7.238852, 72.434647, -50.33,  0.00, 45, 0, 51.95, 
2016/06/25, 14:05:11, -7.238789, 72.435165, 27.75,  0.00, 289, 0, 57.57, 
2016/06/25, 14:10:08, -7.238764, 72.435089, 27.26,  0.00, 38, 0, 8.83, 
2016/06/25, 14:15:03, -7.238748, 72.435143, 27.71,  288.00, 315, 0, 6.22, 
2016/06/25, 14:20:04, -7.238633, 72.435432, 81.36,  0.00, 334, 0, 34.35, 
2016/06/25, 14:25:03, -7.238806, 72.435066, 14.87,  0.00, 85, 0, 44.72, 
2016/06/25, 14:29:59, -7.239072, 72.434624, -72.81,  0.00, 309, 0, 57.03, 
2016/06/25, 14:34:56, -7.238916, 72.434998, -4.24,  1152.00, 217, 0, 44.75, 
2016/06/25, 14:39:52, -7.238801, 72.435059, 20.96,  1764.00, 323, 0, 14.45, 
2016/06/25, 14:44:48, -7.238657, 72.435005, 36.09,  504.00, 331, 0, 17.08, 
2016/06/25, 14:49:48, -7.227452, 72.443436, 2843.94,  36432.00, 223, 0, 1554.77, 
2016/06/25, 14:54:47, -7.238738, 72.435043, -2.65,  4392.00, 20, 0, 1559.50, 
2016/06/25, 14:59:44, -7.238831, 72.435097, -5.59,  2556.00, 18, 0, 11.93, 
2016/06/25, 15:05:06, -7.238787, 72.435081, -19.28,  108.00, 307, 0, 5.20, 
2016/06/25, 15:09:57, -7.238742, 72.435059, 7.88,  0.00, 86, 0, 5.56, 
2016/06/25, 15:14:51, -7.238795, 72.434982, 12.47,  216.00, 46, 0, 10.34, 
2016/06/25, 15:19:46, -7.238736, 72.434929, 12.13,  468.00, 86, 0, 8.79, 
2016/06/25, 15:24:38, -7.238915, 72.435043, 20.31,  0.00, 219, 0, 23.54, 
2016/06/25, 15:29:35, -7.238976, 72.435013, 34.00,  144.00, 220, 0, 7.55, 
2016/06/25, 15:34:26, -7.238867, 72.435043, 5.79,  144.00, 80, 0, 12.56, 
2016/06/25, 15:39:20, -7.238836, 72.435005, -2.62,  144.00, 98, 0, 5.43, 
2016/06/25, 15:44:14, -7.238863, 72.434967, 1.81,  0.00, 154, 0, 5.16, 
2016/06/25, 15:49:10, -7.238677, 72.435120, -42.87,  0.00, 327, 0, 26.69, 
2016/06/25, 15:54:06, -7.238693, 72.435043, 77.83,  1296.00, 173, 0, 8.68, 
2016/06/25, 15:58:56, -7.238836, 72.435074, 4.15,  0.00, 138, 0, 16.26, 
2016/06/25, 16:04:04, -7.238805, 72.434967, 14.51,  0.00, 178, 0, 12.30, 
2016/06/25, 16:09:10, -7.238656, 72.434784, 93.83,  0.00, 132, 0, 26.12, 
2016/06/25, 16:14:19, -7.238963, 72.434975, 29.41,  0.00, 34, 0, 40.12, 
2016/06/25, 16:19:46, -7.238887, 72.435036, 23.88,  576.00, 326, 0, 10.80, 
2016/06/25, 16:24:59, -7.238654, 72.434860, 50.94,  0.00, 293, 0, 32.38, 
2016/06/25, 16:30:28, -7.239142, 72.435028, 67.73,  180.00, 123, 0, 57.34, 
2016/06/25, 16:35:38, -7.238985, 72.435059, -24.84,  0.00, 347, 0, 17.79, 
2016/06/25, 16:40:53, -7.238842, 72.435005, -4.64,  3060.00, 9, 0, 16.98, 
2016/06/25, 16:46:12, -7.238728, 72.434937, -22.04,  108.00, 52, 0, 14.73, 
2016/06/25, 16:51:21, -7.238770, 72.434975, 13.24,  0.00, 124, 0, 6.28, 
2016/06/25, 16:56:31, -7.238757, 72.435020, -51.88,  1908.00, 334, 0, 5.17, 
2016/06/25, 17:01:48, -7.239023, 72.435173, -5.11,  288.00, 170, 0, 34.05, 
2016/06/25, 17:07:19, -7.238803, 72.434982, -11.27,  1548.00, 130, 0, 32.29, 
2016/06/25, 17:13:24, -7.238869, 72.434959, -11.21,  468.00, 158, 0, 7.77, 
2016/06/25, 17:19:55, -7.238534, 72.434853, -44.60,  684.00, 156, 0, 39.04, 
2016/06/25, 17:26:54, -7.239079, 72.435051, -33.49,  1224.00, 22, 0, 64.42, 
2016/06/25, 17:35:12, -7.238861, 72.435066, 2.95,  0.00, 230, 0, 24.30, 
2016/06/25, 17:40:35, -7.238789, 72.435097, -19.26,  288.00, 33, 0, 8.71, 
