ID,Date,Time,Lat,Lon,DateTime,DeployID,CPLat,CPLon,Species,Population,Deploydatetime,Retrievedatetime,geometry_first,dist,difftime,netdisp,speed,turnangle,CPdist,CPbearing
X102,2011-05-29T00:00:00Z,00:56:43,9.533141962,66.67958506,2011-05-29T00:56:43Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",33058.0066332377,40500,3522341.95271161,0.8162470773638946,147.52076868701351,3466353.66500977,16.84123746220204
X102,2011-05-29T00:00:00Z,14:01:43,9.633673085,66.62673858,2011-05-29T14:01:43Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",12783.5126296107,47100,3531490.25725364,0.2714121577412031,332.27031479938023,3475560.91751208,16.69289197776898
X102,2011-05-30T00:00:00Z,01:16:43,9.864459557,66.69259044,2011-05-30T01:16:43Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",27078.6262270689,40500,3558563.69226724,0.6686080549893555,15.925394819701042,3502637.26622886,16.686955085948675
X102,2011-05-30T00:00:00Z,14:06:43,9.825129022,66.22117032,2011-05-30T14:06:43Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",52666.050443217,46200,3539459.30382589,1.139957801801234,265.2308634637144,3483862.89697646,15.869368495487667
X102,2011-05-31T00:00:00Z,01:26:43,9.422010739,66.09803416,2011-05-31T01:26:43Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",47534.8196312499,40800,3491928.37403277,1.165069108609066,196.9857701468441,3436337.28782973,15.853907339702545
X102,2011-05-31T00:00:00Z,12:51:42,9.461477953,66.28906815,2011-05-31T12:51:42Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",21727.1930342618,41099,3502131.43953694,0.5286550289365151,78.32704293030413,3446407.99886053,16.17861213638877
X102,2011-06-01T00:00:00Z,01:01:42,9.622052196,66.18029692,2011-06-01T01:01:42Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",21798.1113317459,43800,3516159.37570635,0.49767377469739443,325.8867182029454,3460550.01295682,15.899681008402837
X102,2011-06-01T00:00:00Z,12:21:42,9.566075509,66.21312652,2011-06-01T12:21:42Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",7300.29938183911,40800,3511101.66163268,0.17892890641762518,149.6089306174771,3455456.22903333,15.987502509605367
X102,2011-06-02T00:00:00Z,00:56:42,9.220631923,65.84055835,2011-06-02T00:56:42Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",56915.1249636959,45300,3462247.82802448,1.2564045245848976,227.16345413855464,3406807.5236579,15.488012136308596
X102,2011-06-02T00:00:00Z,13:51:42,9.091727243,65.71435521,2011-06-02T13:51:42Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",20214.6306733367,46500,3444472.05015574,0.4347232402868114,224.39327201162658,3389100.95964096,15.321545019399208
X102,2011-06-03T00:00:00Z,01:01:41,9.357065483,65.46179891,2011-06-03T01:01:41Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",41059.5522181295,40199,3465966.08020339,1.0214073041152643,316.4138063146486,3410847.86655251,14.726458265134564
X102,2011-06-03T00:00:00Z,13:26:41,9.209385517,65.23779386,2011-06-03T13:26:41Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",29988.2281304894,44700,3443502.93103217,0.6708775868118432,236.60430546081656,3388531.82844241,14.384435101700156
X102,2011-06-04T00:00:00Z,01:21:41,8.793141602,65.11337368,2011-06-04T01:21:41Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",48915.7337466162,42900,3394612.98848625,1.1402268938605167,196.64202116779248,3339655.17886346,14.35127517995543
X102,2011-06-04T00:00:00Z,13:16:41,8.687177702,65.04708899,2011-06-04T13:16:41Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",14031.2912586551,42900,3381208.35888353,0.3270697263089764,212.02763903069672,3326282.39388813,14.277441807996993
X102,2011-06-05T00:00:00Z,02:51:41,8.163887025,65.3336728,2011-06-05T02:51:41Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",66974.510995845,48900,3332499.24019851,1.3696219017555225,151.29237398740284,3277227.39222522,15.080682187427218
X102,2011-06-05T00:00:00Z,14:31:41,8.04159481,65.79428903,2011-06-05T14:31:41Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",53087.3579149992,42000,3333178.31307601,1.2639847122618848,104.86882985382599,3277515.72868614,16.02154995291563
X102,2011-06-06T00:00:00Z,01:06:40,8.175632443,66.14103764,2011-06-06T01:06:40Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",41437.9814080584,38099,3358582.04927504,1.0876396075502872,68.8657090595188,3302685.9130745,16.601954776657994
X102,2011-06-06T00:00:00Z,14:01:40,8.388941413,66.3995693,2011-06-06T14:01:40Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",37470.8021430054,46500,3389920.92478762,0.8058237020001161,50.47468526107643,3333881.89043495,16.964438221710257
X102,2011-06-07T00:00:00Z,02:26:40,8.197705829,67.02527045,2011-06-07T02:26:40Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",72899.3988885081,44700,3390636.73571122,1.6308590355370944,106.99493718432328,3334112.56872056,18.233796583515304
X102,2011-06-07T00:00:00Z,14:06:40,8.334296319,67.20375417,2011-06-07T14:06:40Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",25116.5929798045,42000,3411502.36041024,0.598014118566774,52.57379763396536,3354888.03743904,18.47821187446299
X102,2011-06-08T00:00:00Z,03:36:40,7.848752835,67.65386241,2011-06-08T03:36:40Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",74102.0424034759,48600,3376340.29852681,1.52473338278757,137.1688840223986,3319320.0528159,19.609830060297096
X102,2011-06-08T00:00:00Z,13:51:40,7.695731342,68.18035468,2011-06-08T13:51:40Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",61078.3904268274,36900,3380439.08071245,1.6552409329763527,106.20615645355682,3323056.57854158,20.674842825690572
X102,2011-06-09T00:00:00Z,00:51:39,7.520536802,68.23028668,2011-06-09T00:51:39Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",20445.8407529036,39599,3364022.94369311,0.5163221483598988,164.091977393017,3306570.42378319,20.88715296832598
X102,2011-06-09T00:00:00Z,14:01:39,7.595790687,68.26803319,2011-06-09T14:01:39Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",9437.66689618244,47400,3373416.99836311,0.1991068965439333,26.63783262387037,3315959.12204187,20.903602080292266
X102,2011-06-10T00:00:00Z,02:31:39,7.376291094,68.97346165,2011-06-10T02:31:39Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",82304.2881330665,45000,3379457.08060544,1.828984180734812,107.2839392198848,3321546.55907109,22.338723735808806
X102,2011-06-10T00:00:00Z,13:26:39,6.93679508,68.80871924,2011-06-10T13:26:39Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",52608.6683220795,39300,3326878.63286886,1.3386429598493508,200.54820476701732,3268959.34795863,22.367727611741564
X102,2011-06-11T00:00:00Z,01:11:39,6.742966692,68.01292793,2011-06-11T01:11:39Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",91213.6602563248,42300,3273910.67017772,2.1563513062960937,256.31118825859846,3216409.35719496,21.036244966984516
X102,2011-06-11T00:00:00Z,13:51:38,6.202437154,68.10952377,2011-06-11T13:51:38Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",61504.9916407959,45599,3221424.26492788,1.348823255790607,169.86785966019409,3163737.10032086,21.617202248986377
X102,2011-06-12T00:00:00Z,01:16:38,5.747531484,67.91926247,2011-06-12T01:16:38Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",55146.0318947319,41100,3166285.95556216,1.3417526008450582,202.6967987037042,3108605.11598325,21.59787003213582
X102,2011-06-12T00:00:00Z,14:01:38,5.429767437,67.20694311,2011-06-12T14:01:38Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",86896.2491508896,45900,3104621.27871218,1.893164469518293,245.9584584209531,3047317.03963696,20.439793767640737
X102,2011-06-13T00:00:00Z,01:16:38,4.864202646,66.88777252,2011-06-13T01:16:38Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",72514.308467095,40500,3032988.59127485,1.790476752273951,209.43775669343162,2975759.01007378,20.21887167407173
