"Date","Time","Lon","Lat"
"08.05.2013","08:25:12",18.4123,-33.85685
"08.05.2013","08:26:31",18.412355,-33.8580033
"08.05.2013","08:28:26",18.4120333,-33.8596867
"08.05.2013","08:30:39",18.4112267,-33.8612083
"08.05.2013","08:31:42",18.4113817,-33.8612083
"08.05.2013","08:32:50",18.4114233,-33.86147
"08.05.2013","08:33:58",18.4117167,-33.86145
"08.05.2013","08:35:05",18.4109533,-33.8620583
"08.05.2013","08:36:11",18.4119867,-33.8617933
"08.05.2013","08:37:17",18.4118217,-33.8621
"08.05.2013","08:38:29",18.4117133,-33.8623133
"08.05.2013","08:39:37",18.41185,-33.8623783
"08.05.2013","08:40:41",18.4117033,-33.8627217
"08.05.2013","08:41:45",18.4118117,-33.8629167
"08.05.2013","08:42:48",18.411835,-33.86329
"08.05.2013","08:48:42",18.4093667,-33.8666033
"08.05.2013","08:50:58",18.4080633,-33.8675533
"08.05.2013","09:37:12",18.376195,-33.8770283
"08.05.2013","09:38:35",18.375005,-33.8775733
"08.05.2013","09:40:35",18.37374,-33.8779183
"08.05.2013","09:42:26",18.3726333,-33.8789183
"08.05.2013","09:44:50",18.37063,-33.87963
"08.05.2013","09:47:36",18.36894,-33.8807417
"08.05.2013","09:49:07",18.3679833,-33.8815417
"08.05.2013","09:50:08",18.3676033,-33.8823733
"08.05.2013","09:51:27",18.36721,-33.8832167
"08.05.2013","09:52:45",18.3668483,-33.8840117
"08.05.2013","09:54:01",18.3658483,-33.8850717
"08.05.2013","09:55:11",18.3653033,-33.8858783
"08.05.2013","09:56:13",18.364185,-33.886875
"08.05.2013","09:57:17",18.3643683,-33.8872933
"08.05.2013","09:58:27",18.3653317,-33.8869583
"08.05.2013","09:59:40",18.3621017,-33.8890017
"08.05.2013","10:00:49",18.3611833,-33.8897183
"08.05.2013","10:02:02",18.3602383,-33.890405
"08.05.2013","10:03:15",18.3597333,-33.89079
"08.05.2013","10:04:20",18.35825,-33.891415
"08.05.2013","10:05:45",18.3577333,-33.89065
"08.05.2013","10:07:32",18.3572483,-33.8893667
"08.05.2013","10:08:48",18.35702,-33.8892917
"08.05.2013","10:10:41",18.3555467,-33.8893933
"08.05.2013","10:11:53",18.3547567,-33.889235
"08.05.2013","10:12:31",18.353255,-33.8900767
"08.05.2013","10:13:54",18.3545167,-33.8897417
"08.05.2013","10:14:59",18.353555,-33.8903233
"08.05.2013","10:15:54",18.3519867,-33.8915467
"08.05.2013","10:16:48",18.3524933,-33.89158
"08.05.2013","10:17:40",18.351525,-33.8922633
"08.05.2013","10:18:41",18.3501667,-33.893075
"08.05.2013","10:19:40",18.349765,-33.893745
"08.05.2013","10:21:13",18.34802,-33.8953533
"08.05.2013","10:24:27",18.352465,-33.8961717
"08.05.2013","10:27:45",18.347235,-33.900515
"08.05.2013","10:45:42",18.3361883,-33.90669
"08.05.2013","10:46:23",18.3358567,-33.90697
"08.05.2013","10:48:33",18.33546,-33.907925
"08.05.2013","10:49:47",18.3345333,-33.9088017
"08.05.2013","10:50:51",18.3336733,-33.9091983
"08.05.2013","10:51:36",18.3334883,-33.9095483
"08.05.2013","10:52:07",18.3332617,-33.9099783
"08.05.2013","10:53:04",18.33256,-33.9100867
"08.05.2013","10:53:40",18.332545,-33.91023
"08.05.2013","10:54:28",18.3321367,-33.910505
"08.05.2013","10:55:24",18.3316917,-33.910345
"08.05.2013","10:56:36",18.33074,-33.9112033
"08.05.2013","10:57:40",18.3305183,-33.911785
"08.05.2013","10:58:34",18.3303383,-33.912125
"08.05.2013","10:59:47",18.329955,-33.913365
"08.05.2013","11:00:56",18.329855,-33.9140583
"08.05.2013","11:01:51",18.3294917,-33.91426
"08.05.2013","11:03:35",18.3293833,-33.9151717
"08.05.2013","11:04:38",18.32882,-33.9156467
"08.05.2013","11:05:23",18.32818,-33.916145
"08.05.2013","11:06:09",18.327865,-33.91661
"08.05.2013","11:07:00",18.3275317,-33.9168883
"08.05.2013","11:08:21",18.3261783,-33.917015
"08.05.2013","11:09:43",18.32571,-33.9169267
"08.05.2013","11:11:06",18.3242067,-33.9171033
"08.05.2013","11:12:13",18.32348,-33.917055
"08.05.2013","11:12:55",18.3231033,-33.9169317
"08.05.2013","11:14:18",18.3223833,-33.9172517
"08.05.2013","11:36:12",18.3171783,-33.927495
"08.05.2013","11:37:21",18.3172167,-33.92747
"08.05.2013","11:38:34",18.3171733,-33.9278183
"08.05.2013","11:39:43",18.3177183,-33.927755
"08.05.2013","11:40:55",18.3177567,-33.92801
"08.05.2013","11:42:14",18.318085,-33.92809
"08.05.2013","11:43:23",18.31849,-33.9281683
"08.05.2013","11:44:33",18.3201833,-33.9277017
"08.05.2013","11:45:53",18.31826,-33.9286483
"08.05.2013","11:47:07",18.317765,-33.9289833
"08.05.2013","11:48:31",18.3178883,-33.9291117
"08.05.2013","11:50:30",18.3177,-33.929185
"08.05.2013","11:52:02",18.3176317,-33.9290017
"08.05.2013","11:53:32",18.3174033,-33.9288367
"08.05.2013","11:54:35",18.3163567,-33.9287
"08.05.2013","11:55:47",18.3159333,-33.9289233
"08.05.2013","11:56:58",18.3161133,-33.928435
"08.05.2013","11:58:06",18.3152183,-33.9281183
"08.05.2013","11:59:04",18.31466,-33.9279717
"08.05.2013","11:59:45",18.3146667,-33.9279067
"08.05.2013","12:21:14",18.3126683,-33.9254783
"08.05.2013","12:22:10",18.3134067,-33.92594
"08.05.2013","12:23:50",18.313645,-33.9256567
"08.05.2013","12:24:55",18.313885,-33.9254383
"08.05.2013","12:26:07",18.314265,-33.9250067
"08.05.2013","12:27:04",18.3138883,-33.924585
"08.05.2013","12:27:59",18.3137033,-33.9243267
"08.05.2013","12:28:42",18.3141033,-33.9241733
"08.05.2013","12:29:11",18.3145733,-33.9242
"08.05.2013","12:30:19",18.31472,-33.9243817
"08.05.2013","12:31:28",18.3151317,-33.9239483
"08.05.2013","12:32:34",18.31577,-33.92396
"08.05.2013","12:33:48",18.3160017,-33.9234967
"08.05.2013","12:35:25",18.3165833,-33.9233133
"08.05.2013","12:36:36",18.3168783,-33.923015
"08.05.2013","12:37:37",18.3171033,-33.922695
"08.05.2013","12:38:43",18.317235,-33.92224
"08.05.2013","12:39:36",18.3176233,-33.9227433
"08.05.2013","12:40:45",18.3178733,-33.9228983
"08.05.2013","12:41:59",18.317935,-33.92305
"08.05.2013","12:42:23",18.318075,-33.9230417
"08.05.2013","12:43:34",18.318275,-33.9233217
"08.05.2013","12:44:44",18.3182683,-33.9235833
"08.05.2013","12:45:49",18.3183133,-33.9238233
"08.05.2013","12:47:03",18.3184433,-33.9240683
"08.05.2013","12:48:06",18.3187217,-33.9239333
"08.05.2013","12:49:09",18.31859,-33.9244567
"08.05.2013","12:50:15",18.3185267,-33.9247267
"08.05.2013","12:51:17",18.3185467,-33.9248767
"08.05.2013","12:52:28",18.3187317,-33.9251633
"08.05.2013","12:53:37",18.318325,-33.92562
"08.05.2013","12:54:40",18.3177833,-33.92587
"08.05.2013","12:55:55",18.317775,-33.9262383
"08.05.2013","12:57:00",18.3169,-33.9266783
"08.05.2013","12:57:53",18.316655,-33.9265167
"08.05.2013","12:58:57",18.316315,-33.92673
"08.05.2013","12:59:42",18.3155533,-33.9268
"08.05.2013","13:00:35",18.3150833,-33.9265217
"08.05.2013","13:01:29",18.3146683,-33.92628
"08.05.2013","13:02:22",18.3143017,-33.9259367
"08.05.2013","13:03:54",18.3133033,-33.9254567
"08.05.2013","13:05:07",18.3132683,-33.9248883
"08.05.2013","13:06:11",18.312885,-33.9244267
"08.05.2013","13:08:57",18.3120217,-33.92514
"08.05.2013","13:09:53",18.3117383,-33.9252283
"08.05.2013","13:10:40",18.311155,-33.92501
"08.05.2013","13:11:12",18.31079,-33.9247683
"08.05.2013","13:12:02",18.3107633,-33.9242933
"08.05.2013","13:12:58",18.3103867,-33.92441
"08.05.2013","13:14:12",18.3102883,-33.92481
"08.05.2013","13:14:59",18.3098167,-33.925015
"08.05.2013","13:16:01",18.3102117,-33.9260133
"08.05.2013","13:16:36",18.3094883,-33.9258117
"08.05.2013","13:17:16",18.3094,-33.926175
"08.05.2013","13:18:29",18.3088317,-33.9267083
"08.05.2013","13:19:33",18.3092567,-33.9271783
"08.05.2013","13:20:23",18.3103083,-33.9276133
"08.05.2013","13:21:27",18.3106217,-33.9272333
"08.05.2013","13:21:57",18.3105633,-33.927145
"08.05.2013","13:22:35",18.3110383,-33.9271283
"08.05.2013","13:23:31",18.31177,-33.92696
"08.05.2013","13:24:18",18.3123283,-33.9269533
"08.05.2013","13:25:23",18.3134333,-33.9268183
"08.05.2013","13:26:06",18.313345,-33.9267567
"08.05.2013","13:26:54",18.3137517,-33.9266317
"08.05.2013","13:27:38",18.3142583,-33.9263783
"08.05.2013","13:29:23",18.315355,-33.925615
"08.05.2013","13:30:18",18.31516,-33.9251067
"08.05.2013","13:31:17",18.314685,-33.9254317
"08.05.2013","13:32:12",18.31401,-33.9256283
"08.05.2013","13:32:48",18.3135883,-33.9257717
"08.05.2013","13:33:38",18.314275,-33.9261333
"08.05.2013","13:34:37",18.3144133,-33.9267517
"08.05.2013","13:35:26",18.315195,-33.9267033
"08.05.2013","13:36:18",18.3155383,-33.9262917
"08.05.2013","13:37:17",18.3163283,-33.925865
"08.05.2013","13:38:00",18.31598,-33.925705
"08.05.2013","13:39:01",18.3152,-33.9253517
"08.05.2013","13:39:47",18.3148933,-33.925345
"08.05.2013","13:40:26",18.314745,-33.9254233
"08.05.2013","13:41:26",18.3139433,-33.9252
