"device_ID","longitude","latitude","timestamp","day","month","year","hour","date","day_ID","julian_date","net_sqrd_displacement","step_length"
17769,-6.378063,52.371124,2018-03-24 06:10:48,24,3,2018,6,2018-03-24,"2018-03-24_17769",17614,0.00127901289699989,0.0757990832847622
17769,-6.379135,52.370941,2018-03-24 07:11:18,24,3,2018,7,2018-03-24,"2018-03-24_17769",17614,0.00130864809999989,0.0183787722968864
17769,-6.379295,52.370808,2018-03-24 08:10:49,24,3,2018,8,2018-03-24,"2018-03-24_17769",17614,0.00130685983299958,0.681089751809745
17769,-6.384972,52.375847,2018-03-24 09:10:49,24,3,2018,9,2018-03-24,"2018-03-24_17769",17614,0.00189376424899978,0.187159303381334
17769,-6.383043,52.374649,2018-03-24 10:10:48,24,3,2018,10,2018-03-24,"2018-03-24_17769",17614,0.00171625253199961,0.122102677004125
17769,-6.38374,52.37566,2018-03-24 11:12:04,24,3,2018,11,2018-03-24,"2018-03-24_17769",17614,0.00181950495400001,0.00300058318024232
17769,-6.383717,52.375637,2018-03-24 12:10:48,24,3,2018,12,2018-03-24,"2018-03-24_17769",17614,0.00181677738399957,0.0221755730449122
17769,-6.383902,52.375801,2018-03-24 13:11:37,24,3,2018,13,2018-03-24,"2018-03-24_17769",17614,0.00183729402099994,0.0556994338001462
17769,-6.384718,52.375767,2018-03-24 14:10:50,24,3,2018,14,2018-03-24,"2018-03-24_17769",17614,0.001875276305,0.0229736657882387
17769,-6.38502,52.375675,2018-03-24 15:10:46,24,3,2018,15,2018-03-24,"2018-03-24_17769",17614,0.00188408080899982,0.174355191300631
17769,-6.383085,52.374649,2018-03-24 16:10:47,24,3,2018,16,2018-03-24,"2018-03-24_17769",17614,0.00171822627999964,0.125603616407234
17769,-6.384472,52.375393,2018-03-24 17:10:46,24,3,2018,17,2018-03-24,"2018-03-24_17769",17614,0.00183673390899991,0.858317561343976
