BirdID,Sex,Age,BreedStage,TrackID,DateGMT,TimeGMT,Latitude,Longitude
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,09:33:16,-6.414688,72.849457
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,09:38:21,-6.429515,72.824387
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,09:43:27,-6.449853,72.802612
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,09:48:33,-6.471613,72.781097
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,09:53:39,-6.493522,72.759674
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,09:58:45,-6.517198,72.739914
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,10:03:55,-6.543991,72.722527
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,10:09:01,-6.571637,72.705971
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,10:14:07,-6.598697,72.690765
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,10:19:16,-6.623377,72.672142
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,10:24:25,-6.648436,72.651917
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,10:29:34,-6.673326,72.630325
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,10:34:45,-6.674506,72.628479
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,10:39:53,-6.703666,72.613144
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,10:45:02,-6.730012,72.595329
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,10:50:08,-6.76016,72.583038
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,10:55:17,-6.784609,72.562843
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,11:00:58,-6.810998,72.540695
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,11:06:04,-6.827593,72.537239
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,11:11:07,-6.848764,72.515869
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,11:16:33,-6.874648,72.494545
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,11:21:39,-6.9028,72.475822
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,11:26:43,-6.929346,72.458786
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,11:31:50,-6.957781,72.447533
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,11:36:58,-6.985162,72.436211
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,11:42:04,-7.017031,72.426392
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,11:47:10,-7.04864,72.419769
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,11:52:27,-7.083014,72.416801
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,11:57:34,-7.115609,72.414658
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,12:03:01,-7.150788,72.417168
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,12:08:08,-7.184594,72.418625
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,12:13:14,-7.214962,72.42865
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,12:18:23,-7.238548,72.434639
GV37501,unknown,Adult,Chick rearing,GV37501_2,2016-06-28,02:08:55,-7.228727,72.44059
