BirdID,Sex,Age,BreedStage,TrackID,DateGMT,TimeGMT,Latitude,Longitude
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,07:59:07,-5.57352,72.525383
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,08:04:15,-5.572502,72.52459
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,08:09:20,-5.57147,72.523888
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,08:14:24,-5.570462,72.523567
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,08:19:28,-5.567358,72.530914
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,08:24:33,-5.565372,72.524223
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,08:29:38,-5.563458,72.525009
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,08:34:44,-5.563698,72.527657
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,08:39:50,-5.562838,72.527168
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,08:44:55,-5.561704,72.517868000000007
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,08:50:00,-5.558409,72.516762
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,08:55:03,-5.553582,72.51651
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,09:00:10,-5.55261,72.509026
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,09:05:15,-5.552551,72.502113
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,09:10:19,-5.552949,72.497543
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,09:15:21,-5.551665,72.490746
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,09:20:26,-5.550339,72.483963
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,09:25:30,-5.553127,72.461281
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,09:30:34,-5.568875,72.436821
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,09:35:39,-5.590209,72.410301
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,09:40:45,-5.607485,72.385536
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,09:45:52,-5.626892,72.365692
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,09:51:01,-5.647384,72.345398
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,09:56:08,-5.669906,72.322281
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,10:01:19,-5.681197,72.316559
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,02:12:14,-5.676995,72.318207
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,02:17:19,-5.671385,72.318565
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,02:22:22,-5.652056,72.328598
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,02:27:25,-5.631824,72.343056
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,02:32:28,-5.610283,72.354988
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,02:37:31,-5.611319,72.36071
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,02:42:34,-5.600588,72.383324
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,02:47:37,-5.596464,72.401268
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,02:52:41,-5.584851,72.423119
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,02:57:45,-5.599027,72.439095
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,03:04:01,-5.591854,72.468018
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,03:10:20,-5.593802,72.489456
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,03:15:25,-5.589724,72.509171
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,03:20:29,-5.592123,72.529594
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,03:25:33,-5.598466,72.543999
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,03:30:36,-5.61366,72.55542
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,03:35:39,-5.626359,72.572975
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,03:40:44,-5.640806,72.592529
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,03:45:48,-5.63736,72.616272
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,03:50:53,-5.637074,72.63839
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,03:55:58,-5.642411,72.660614
GV37734,unknown,Adult,Chick rearing,GV37734_4,2018-07-10,04:01:06,-5.645808,72.683426
